model_count,batch,det_lat,seg_lat,pose_lat,tot_det,npu,fps_det
1,1,427.485,481.895,355.125,24.695,98.068,27.257
1,10,563.424,808.767,613.165,12.454,95.598,54.062
1,50,2699.58,3783.427,3175.33,14.078,95.974,47.833
1,63,3309.07,4554.497,3859.66,14.123,97.357,47.68
2,1,963.46,864.802,800.817,57.644,96.196,11.297
2,10,1285.652,1325.643,1241.407,32.934,95.721,18.649
2,50,5676.963,6132.005,5793.002,33.208,98.541,18.192
2,63,6911.49,7559.448,7082.545,33.122,97.927,17.607
3,1,1455.576,1210.458,1197.053,87.983,96.657,7.232
3,10,1745.073,1668.364,1626.604,46.845,96.388,11.655
3,50,7662.708,7784.793,7600.577,47.631,98.426,10.984
3,63,9366.572,9653.939,9397.773,47.219,98.804,10.92
