batch,advantage,total_time,latency,fps,n
1.0,-31.0,75.761,1115.489,0.415,63
1.0,-16.0,67.932,1002.703,0.534,63
1.0,-15.0,73.202,1078.376,0.473,45
1.0,0.0,64.949,958.474,10.206,135
1.0,15.0,27.418,421.984,24.433,27
1.0,16.0,27.431,422.191,24.467,45
1.0,31.0,27.43,422.143,24.428,27
10.0,-31.0,42.571,1548.024,6.119,63
10.0,-16.0,38.889,1451.234,7.511,63
10.0,-15.0,41.187,1516.024,6.862,45
10.0,0.0,36.381,1363.386,16.574,135
10.0,15.0,15.395,670.13,26.624,27
10.0,16.0,15.483,673.569,26.772,45
10.0,31.0,15.459,672.55,26.69,27
50.0,-31.0,43.774,7278.096,4.874,63
50.0,-16.0,39.833,6745.444,5.411,63
50.0,-15.0,42.202,7065.656,5.061,45
50.0,0.0,36.696,6205.092,15.923,135
50.0,15.0,17.388,3241.687,27.583,27
50.0,16.0,17.472,3251.295,27.79,45
50.0,31.0,17.41,3241.985,27.637,27
63.0,-31.0,43.432,8986.774,4.343,63
63.0,-16.0,39.491,8310.71,4.802,63
63.0,-15.0,41.928,8725.983,4.373,45
63.0,0.0,36.477,7639.153,15.659,135
63.0,15.0,17.754,3989.475,27.927,27
63.0,16.0,17.749,3991.588,28.174,45
63.0,31.0,17.686,3980.35,27.93,27
